CG3358 CG1550
EBI-194372 CG5681
HMX CG31973
ARF72A SNCF
TANGO6 PEN
CG11275 CHI
SAV CNN
CG8942 CG7470
CG8934 DA
RHOBTB CG30263
CG12811 CG10971
EBI-162921 CG15753
CI EBI-111644
RPL13 RHOGAP92B
RPL39 EBI-151216
CG11409 SPICT
E5 VHA100-2
EBI-113877 TRL
PROSALPHA6T CG9014
CG6800 CG15676
PP1-13C MARS
BM-40-SPARC EBI-94564
CG17666 CG14840
CG13045 ACT87E
A16 PP1ALPHA-96A
CSN4 CG12589
CG14931 CG15631
CV-C EBI-119012
ESG EF2B
CG13124 STCK
CG8851 SEC23
EBI-196425 CG32711
CG7628 RPS3
SLMB ACCOAS
CG31999 EIF-4B
EBI-172044 CG2097
R PHL
RBP4 CG9173
SU(FU) CG11148
EBI-123236 CYCB
EBI-172583 CG13964
CG32635 CG8326
FU CG32138
CG9986 SU(H)
NUF SOL
DCP1 CG10424
MAD CG33936
C-CUP PBURS
ESG CG31140
RUX CG15043
CG18624 CG10559
CG7048 CG5793
RECQ4 ECR
EBI-190547 ES2
CG12470 CG15561
CG18806 CG17186
EBI-181962 HSP70AB
ACTR13E SUV4-20
A RPS3
SIRT4 DRS
CG3508 BETAGGT-II
CG13373 CG14387
TAF10 ADA2B
CG4813 AP-50
CG8219 EBI-172996
FD64A C15
CYCH PAN
CG31550 SU(W[A])
CG13576 CG7920
CG34396 CG6045
EBI-176690 CG15881
OFS CG13512
CG13476 CG9246
CG4586 CG8929
CG9099 EBI-206607
PTC SAS
SUCB EBI-458904
EBI-101527 CG5903
EBI-190547 CG14641
CPR100A CG12992
CG11286 CG13510
DIP-B CG14625
FD59A CG1135
CG1622 CG1622
SEC5 CG15523
PAK CYCC
EBI-134484 EBI-82680
CDC2 CG3925
CG10663 CG2199
GM130 CG8965
EBI-119138 EBI-237039
R CG30421
CG32016 CG32016
KLC KLC
CAF1 EBI-184456
SCP2 AP-1GAMMA
INVADOLYSIN PNN
ERR CG15634
EBI-147266 RPL13A
PUF68 CG13567
MNT MAX
CG7928 EBI-164534
CG14829 OPA1-LIKE
PER PER
CG8219 EBI-206443
ERR CG6856
CG14546 CG31224
ARD1 EBI-177882
CG9416 EBI-210182
CG7670 ALT
CG5792 MED19
EBI-176762 CG17446
RLIP EBI-161439
CG14119 PI3K92E
CG30263 CG5804
CG9797 CG7386
CPR66D EBI-265156
REV7 REV7
CG9925 NEP1
CG9876 CG2233
EBI-870796 VG
PERITROPHIN-15A CG12470
PROS45 RPT1
CG11163 GNU
CNN NPLP1
CG17134 CG10565
CG11380 CG14534
CG15220 CG1636
CG8965 CG17154
PMS2 CG9468
CG16721 CG4617
CG6196 RPLP0
DSX DSX
CSN1A RPL38
CG11006 CG17271
CG11505 CG13047
CG14216 GLI
PSR EBI-127547
MRPS30 EBI-198120
HPO CG31108
EBI-195768 C15
CG17107 CG18284
EBI-187422 LARK
CG3335 HSP83
CPR92F CYT-C-P
EBI-119728 PP2B-14D
CG3610 HK
EBI-101869 WDB
SLD5 CG7203
CG11566 CG31054
EBI-212395 EF2B
CG32584 ORK1
CG13287 SOL
LOQS VHA16
L(2)37CG EBI-122233
SFMBT PGRP-LC
CG17377 CG13041
CG3225 PEBIII
PKA-C3 EBI-110745
HOP STAT92E
SNAPIN CG4830
CG31291 PP1-87B
CG31797 CG13458
CG8831 CG14149
ROLS SPN-B
CG15524 CG17450
EBI-172583 EBI-204491
PKC98E CG3731
PNG DOR
CG14506 ETS97D
EBI-221525 CG12321
CG32016 STCK
EBI-196643 CG11899
RHO-4 LARK
CG13996 CYCB
EBI-168390 RPL27
MAPK8IP1 APPL
EBI-99546 EBI-205748
CSN4 7B2
CG17826 CG17568
CG8851 CG11248
EBI-121150 CG18854
CG9986 CG14354
L(2)37CG CG11842
CG14246 CG4022
EBI-198400 CG33980
WWOX LANB1
CG4820 RPS23
CG1461 EBI-190547
MOE RPS27A
BSK EBI-172270
CG15525 CG3198
CG31958 CG3321
MOD(MDG4) HSP70AB
EBI-152117 EBI-193710
CG32428 CG15631
CG7265 CG8036
CAS KAP-ALPHA1
IAP2 EBI-194303
EBI-202379 CG2199
HLHM7 L(3)J2D3
SIMA CG1324
P53 MED26
TSG101 DAP160
CV-C TPS1
SC HLHM5
CG9986 RPL17
RHOGAP68F RAB4
CG5913 PUF68
CG15177 CYT-C-P
CG3081 RPS15AA
CG9014 LYSX
SRP54 SRP54
HH SMO
CG9902 CG18809
HEM ACT5C
CG14410 CG18806
CG17107 THR
ASX CG18404
RECQ4 R
EBI-190238 CG17475
HSP83 PHL
ELA CHIC
EBI-138643 EBI-145799
EBI-197717 HLH4C
CG8128 EBI-458904
MED4 MBO
CG32369 CG18764
CG8851 CG4617
CG2926 CG5478
CG31999 CG5694
CG11201 CG9232
CG33096 CG9448
TEN-M CHER
CG14868 BORR
ARP66B RPL35A
CG15865 EBI-130561
CG17086 CACTIN
EBI-132327 HOMER
FU VHA13
CG7860 RPS3
CNN EBI-200614
SAV CG12645
CG5144 CG3842
FZO EXD
SKPA CG2247
EBI-177649 CG13857
RHOBTB EBI-189834
EBI-208282 APT
WNTD CG9572
CG1553 PP1-13C
CYCH HEPH
NIPP1 CG6854
CG9989 PEP
EBI-161016 CG7724
VPS20 SHRB
SC HLHM7
CG6707 CG8942
NOC CG12470
MR EBI-179816
SXL SXL
EBI-208575 FK506-BP2
CG15308 EBI-115136
CG14869 CG9911
EBI-161439 TRAF3
CRC ARC-P34
CG31211 CG6843
CG4250 CG33980
DLL EXD
N EBI-167069
CG12721 CG1792
C901 NMO
CG17331 PROS29
SLMB FER1HCH
CKIIBETA TJ
NURF-38 CG1893
RHOGAP92B CG5334
CG7352 RPS7
TERM ELOA
MOE CAF1-180
HN CG9135
LCP2 HSP70AB
GP150 AP-50
CG1104 EBI-153383
CG13996 DFD
EBI-102987 CONT
CG6793 CG12470
L(1)G0136 RPS20
CG7231 RPS7
CG12404 RAB11
EBI-170192 HRP59
EBI-226625 CG15631
CG8455 CYCE
EBI-201372 EBI-185330
EBI-105310 CG17567
EBI-195768 RPL12
CG15370 CG17666
CG2017 CG17154
HSP67BA CG17528
CG11164 HMX
CG7381 CAUP
CG12379 YP1
NC ARK
L(2)03709 MRPL4
GFT EBI-151120
SLIF EBI-190132
CG10366 CG10494
EBI-186011 RPL37A
CG2446 CG14220
SOX21B HALE
CI CG9184
PNG DFD
RAB11 BETATUB56D
CG15308 CG12811
CG7371 SIP3
CG11893 CG11377
BETAGGT-II CG14387
EBI-178662 EIF-4A
CG6569 CG13614
EBI-92943 CG6425
DOA CG9915
EBI-196732 CG10032
MAD2 UFD1-LIKE
CG3726 EBI-167512
RHOGAP92B CG14625
CG13667 BIP2
CG14977 EBI-177882
HSP27 CG9130
CG2926 CG8319
CG13840 MND
CG14667 CG11696
CPR92F MUS209
CYCH FRY
EBI-88363 VHA36
UMBREA CG1745
DRK PI3K68D
CG7518 BAP60
CG13474 BICD
BUFFY BTBVII
CPR100A ELA
CG10032 EBI-190963
DA DPN
DAP CG1120
CANB CG31217
PROSBETA3 PROS35
CG10806 CG5478
EBI-212395 RPS12
EBI-160257 BCD
ARR2 CAMKII
CG31029 SMB
CG11275 CG2218
CG14612 CG32392
CG31802 CG5591
CG6808 CG9836
CG5111 CG7818
EXO70 CG9297
CG12404 CG12054
OPA VIH
CPR72EA EBI-130934
EBI-147527 MHC
CAF1 MYB
EBI-197717 CG5792
CSTF-50 CG10263
DOCK NPC2
CG17568 CG6523
PVF2 LIM3
PMS2 WOC
EBI-183080 CYT-C-P
CG3880 CG17327
CAF1 SU(Z)12
SLMB CHC
EBI-197069 CG7757
PLU REV7
EPSIN-LIKE ELA
EBI-183075 CG9572
CPR92F CG11138
CG4511 CG8507
CG10154 VHA55
CG15912 CG9911
RAB6 IMPE1
CG13838 CG34422
RECQ4 CG13510
CSN4 GPP
CG3099 CG7757
HALE CG11138
CG9951 EBI-190547
ROBL22E EBI-159091
MIRO CPR72EA
HOMER CG11566
SYX16 DISCO
CG3099 RPS24
PUF68 BETAGGT-II
CG10943 ODA
CG13630 EBI-140590
PCAF RPII215
CG7375 CG6398
EBI-91664 CG11164
ROX8 CG12723
CG14667 CG9184
SNAP ALDH-III
ARF84F EBI-218484
ODA EBI-75338
SMN EBI-1151669
CTP SU(TPL)
SU(H) EBI-222860
CG9624 EBI-126758
ADA2B CG2865
CG7191 CG10336
CG32016 CG15422
EBI-160257 CG5708
CG11566 CG1091
CDC2C TOY
NC2BETA TAF11
PAV TUM
CG3769 BHR
DCR-2 R2D2
EBI-160257 SOX21B
CDC2C EBI-187683
CG12607 PXT
TIN CDC2RK
P53 CG12723
EBI-174766 EF1ALPHA48D
CG8368 EBI-192791
CG9876 EBI-148755
CG32425 EXD
SLO SRC64B
CDLC2 INSV
RHOBTB TRAF3
CG13362 MRPS17
CG11134 L(3)L1231
EBI-121150 ROBO
EBI-119138 SCU
CG33275 CG10267
AAC11 HKL
MER ROP
CG31033 MES2
CG12362 BETATUB56D
CG33980 CG10600
CG5440 CG3662
CG6416 CG12010
XPAC EBI-125429
CG10164 EBI-153363
EBI-161129 HLH4C
TAMO ACT5C
TERM TRAF3
CG31122 CG11164
CG14207 GAPDH2
FZO CG7757
DNAPOL-ALPHA73 BRK
CG8368 CG8675
KAPPAB-RAS CG14145
MAGE CG13142
STAR1 CKIIALPHA-I3
CG5053 X11L
CYCK CG12362
CG31244 PP1ALPHA-96A
TRIM9 CG10263
CG12766 KL-5
CG32086 EBI-156955
CG17778 CG6856
CG11489 EF2B
CG11249 CG3942
CG10324 SU(W[A])
SYX16 CG2678
ILP7 EF1GAMMA
RUX E(R)
MLH1 CG9170
TEH3 REG
CG14204 EBI-82680
ORC6 CG1120
CG6945 CG17018
CG32772 OR2A
MAD CG13512
CG11899 EBI-218847
SRY-ALPHA MYB
KLC PK17E
MER CG3711
CG6945 YP3
CG3501 CG17556
CG8128 SEQ
CG12029 CG10754
EBI-190441 CG33116
CG31802 RHOGAP19D
CG17568 CG3097
H2.0 NINAE
CG12477 EBI-198744
CG32809 ABI
EBI-497141 EBI-130934
EBI-83005 ST6GAL
CG8851 CG3213
MED4 CG5802
CG34376 NMT
EBI-131530 BRK
TAF12 EBI-198806
EBI-131459 CG6506
STAR1 ACT57B
CG11769 CPR78CC
DOA LCBP1
EBI-90739 CG8927
CG34383 RPL24
CG17667 NUP358
TEKTIN-A CG10032
CG6838 BAP60
DYS CG17086
EBI-233810 CG2774
CG16721 BETATUB56D
OR45A CG4576
CG15634 CG2467
CG8188 ORG-1
DYS ART8
PCS EBI-161439
CG8455 CG5708
CG11275 EBI-194372
CG11505 EBI-199389
UBC84D DREDD
CG7069 EBI-162173
SPX NINAE
KO EBI-100654
DOD PIM
OPA CG10032
CG32635 RPL36
MLE AMA
CG5107 EBI-185748
HPO GAMMASNAP
EBI-136768 RPL4
TBPH CG10650
CG5111 CG7787
GLO CG3838
CG13501 MLP84B
CG32772 IM10
EBI-190441 CG40127
EBI-195768 SU(VAR)205
DRK SEV
CG12200 CG18619
CG8316 CYP6A23
CG15364 CG17836
CG6972 CKIIALPHA-I3
CG4704 MTNA
EBI-115404 EBI-115404
CG10943 RAD23
CG15690 MRPS26
SIP1 CG7757
NOTCH1 SU(H)
CSN4 RIC8A
CG10559 CG17510
PABP KARYBETA3
HEPH CG7724
EBI-183535 CG6447
CG1461 CG15634
EBI-530681 TAF10B
CG9527 CG4887
CG2926 CG32075
TAMO AMA
GRP E5
CG14540 TACC
MAD2 DOA
PSR EBI-219078
CG9319 EBI-153383
EBI-90739 CG5468
NEOS RPL9
EBI-196831 CG15631
EBI-83005 UGT86DA
SMO CG17493
EBI-161602 CG3995
EBI-130561 CG8301
EBI-850217 ARET
RIG HR46
HLHM7 CG34401
CG13293 RPS8
CG9986 CG13067
EBI-113289 CG4673
CG17568 CYP4G1
RGL N
CG4771 ING3
DOA CG18476
VIG ART3
CG14829 BETATUB56D
CG15690 EBI-121063
SIP1 CKIIALPHA-I1
ORC6 CG11802
CG14546 CG14546
UBCD2 MAD
CG15741 CG7955
CG6617 CG40127
HSP60B CDC2
EBI-92440 CG3797
CPR92F CG18624
EBI-139287 RPL15
CG31211 EBI-82680
EBI-198120 OATP26F
EBI-75953 MIP130
CG17776 GM130
SIRT2 CG13900
CG31111 STUMPS
RLIP SIMA
CG13032 EBI-161439
EIF4E-5 CG14250
CG14145 CG30428
CG4998 CG17377
EBI-205381 CG9917
DNC SH
EBI-251857 GBETA76C
RAC1 GRAF
CG11275 EBI-162629
CG32772 CG9196
CG5050 SMN
CG8965 ELB
CG17107 CG3618
EBI-167906 SEC23
CG4285 CG7427
CG2713 EBI-259128
CG2116 CG10462
CG2116 EBI-164534
SLMB CG15311
RPL11 FMR1
CG17221 CNN
EBI-165604 CG8207
SLO SLOB
CG3689 RAB3-GAP
CG11658 SKPA
GAMMASNAP CHER
STEP EBI-163004
HRP59 EBI-162921
ORC4 CG5731
NTF-2 CG8831
SOL CG16728
CG11555 EBI-198486
SIP2 EBI-96370
EBI-114261 EBI-233810
BJ1 CG10263
TINC CG14911
MYO10A UP
EBI-159623 RPL17
CG10510 CG5798
ELB CG7056
EIF4E-5 TSP97E
TFIIA-L RPS7
CG11489 CG10032
EBI-88589 VHAM9.7-2
VPS20 CG11696
CG9666 CG13030
GTF2F1 TFIIFALPHA
DMRT99B CG2950
CG9173 CG9173
EBI-177649 CG17777
EBI-90739 PHM
RPIII128 CG12470
CG17599 LCP2
BM-40-SPARC EBI-157400
CG18806 CG5376
FKBP59 INAD
CDC2RK KOKO
JON65AIV CG8177
EBI-244104 PABP
NEP3 CDK5
EBI-193297 GAPDH2
CDC2C EBI-160257
SPX CG2157
CG16978 EBI-194042
RTGEF EBI-163004
CG7056 RAB3
MSR-110 CG13907
MDR65 CG14224
CG8368 CG11381
CG8997 JIGR1
CG12393 BGB
CG12200 CG11248
CG11255 TAF12
CTP SMO
BCD CG1324
CG8455 CRN
CG17168 TTK
EBI-105213 ENA
EBI-85608 CG17325
CG15772 RIPALPHA
CG8455 CENG1A
EBI-146896 CG2608
E(R) CG13458
CG2712 CG4073
EBI-196831 CG17666
CG7967 RPS20
EBI-108714 CG13991
H2.0 GRO
EBI-100350 CG10514
CG6163 TRAF3
CG4998 CG9526
TAF11 CG14317
CG3492 PYD
CDC2RK CG18745
CG14359 BAP60
ANCE-2 CYP316A1
INV STV
CG13045 CNC
CG1943 EBI-112513
CG32264 CG9083
CG15861 NEJ
EBI-128409 CG10205
PMS2 CG6185
CG18135 SOCS36E
CG14556 EBI-233810
EBI-155060 CYCB
CG34404 CG10263
SSRP TRL
GM130 MTF-1
CG4887 VHA16
PUC RDX
EBI-137887 SAMDC
HSP70AB CHIP
CG17283 CG11163
EBI-212395 CSN6
CG13511 EBI-74966
ASX SCM
CG2713 CG6854
CG13883 CG31090
CG4820 MEI-S332
CG12030 CG12030
CG9510 CG2233
EBI-197479 CG9837
CG11449 GRIP71
TOP1 TOPORS
CG14556 EBI-127204
EBI-132366 PATH
CG13272 CP38
CYCD CDC2C
I-T PP1-87B
WASP ABI
SOL CG9572
SIRT4 CG3731
SLMB EBI-496253
CG11489 HALE
CG31211 CG17265
CG13322 CG6230
CG2540 EBI-180418
PLL EBI-129988
VND EBI-218484
PROS26.4 PROS54
SMR USP
REV7 CG13900
EBI-177649 CG13678
EBI-101527 EBI-119229
CG2681 EBI-96424
KLC CG1126
CPR76BA CG17163
EBI-107078 CG14712
JP SNAP
EBI-102305 CG13030
CG13030 CG13285
RALA WNT5
CDK8 SKD
CG6891 CG30194
CG6897 CG12470
BSH CG6770
AKT1 SOX21B
EBI-204445 DNAJ-1
TBPH EBI-116936
LIS-1 EBI-278523
EBI-183080 MAD
NC2ALPHA NC2BETA
DREF RPS20
EBI-213208 BRK
CG31211 CG6066
MTNA CG15031
CG10550 EBI-153383
CG31802 SDT
CG17377 EBI-168011
EBI-99044 CG4300
ARM REPT
SSL2 CG11377
CDC2C CYCK
SEC10 CG6769
NUCB1 CG12393
UGP ENO
EBI-187683 CG8128
GSC MOL
SMOX HLH4C
MIP130 RBF2
MBC RAC1
CG10710 CG14084
CG8863 CG10958
CPR100A CG10621
CG13510 EIF4E-3
CG8128 CG3925
CG14546 EBI-127204
TBPH CG2962
NEJ CG5568
CG14053 PHYL
NUF CRC
CG32556 CG14815
CG3308 CG5792
LOQS CG5959
EBI-208662 PDI
CG1324 CG12020
ALD CG5386
EBI-144629 CG17271
CG13022 RASP
MSI CG17018
CG2021 DEBB
CG10882 CG13512
CG18806 RPL5
CG13405 EBI-86340
CG5846 EBI-88617
CG11985 CG2865
RAD23 EBI-193853
SEC10 CG1531
PLI RPL34B
NEOS RIN
CG15198 CG30327
EBI-198400 ENDOA
CYP9F2 PTP61F
PER LSP1BETA
RGL UNR
CG3225 CG3358
CG6324 EBI-122840
CG6393 CG9426
CG2811 RPL15
GSC RPS26
CG6719 PROS54
ECT4 C15
CG14216 EBI-496850
COMM3 FAS1
CG32016 MST84DA
CG8993 EBI-1628353
EBI-198120 SYX1A
MLH1 KST
CG11885 CALPB
HRS EBI-130492
RUX CG14119
VHA100-2 EBI-196643
CG13022 DLC90F
CG11699 EBI-183485
EBI-168236 EBI-163201
CKIIALPHA-I3 BIP2
HSP60B CG12985
CG11505 NTF-2
BCD TAF6
GSB CG12393
CACTIN CG18259
EBI-183535 CG8159
CG12432 CG11293
MRPS7 FCP3C
SYX16 EBI-499029
TBPH PXT
EXO70 CG3085
AGO HIS2AV
CG6843 CG8507
EBI-165735 CPR100A
EBI-193421 CG12470
PNUTS FLW
EBI-181429 EBI-151216
CG14011 CG7357
EBI-176690 CG31211
CG6800 CG4221
BAP60 CG7003
CG32425 CG5642
CG4168 CG2453
CG17568 CG15436
REV7 CG33980
EBI-102558 HALE
AGO RPS3
CG17302 MRPS22
CI EBI-183763
EBI-262271 CG31033
CPR12A CG32581
NINAA CG9184
CG11327 CG16984
EBI-159623 CG12470
SKPA CG7922
BM-40-SPARC D12
PLL PLL
CG11327 CG4603
CHI EBI-189914
EBI-198400 RPL17
ODA L(1)G0003
HRB27C EBI-202379
CG14961 EBI-132318
EBI-128385 RPL10AB
EBI-89218 CG13865
EBI-106701 CG10426
CG32105 FIB
CG13030 CG11723
KLC CG10979
PAK PHDP
EYG CG1135
CG8301 AP-1GAMMA
EBI-205338 MRG15
CYCC SKD
REV7 CSN3
ADK3 ALPHATUB84B
CG6985 MTS
ERR BAP60
CG4306 PPL
CG31111 GYCBETA100B
EBI-119138 RPS7
CG9796 EBI-130802
CG2017 CG12703
RAC1 EBI-458912
CG11768 RPL27
CG5640 RPL23A
KLC RHOGAP68F
CG9573 EBI-115418
CG13721 MTNB
CAP-H2 MRG15
EBI-97031 EBI-197238
CDC14 CG5568
CG5380 CG3662
ORI CG12521
CG9740 BIP2
CG12725 NAP1
PP1ALPHA-96A CG9619
MICAL CG6497
NOI EBI-115372
VG SD
EBI-150616 EBI-197780
HRB27C CG33692
MER EBI-169869
CG12721 CG17494
BAP60 EBI-82680
CG8316 EF2B
CG17836 CG17666
ARU MYB
L(2)06225 CG13617
NEOS CG1268
DL NEJ
CG33967 CG10086
EBI-497141 SLIP1
SEC5 HTH
RHOGAP68F CG11138
EA GD
CG32772 HSP70AB
CG9510 CAMKII
CG32016 FER1HCH
CG9986 EBI-197069
CG6843 SRM160
EBI-194372 CG7215
CG16985 CATSUP
CG8128 CG6191
CG6897 CDLC2
MOE CG3973
PAK ECR
SNAP CG3287
OKR CG12082
CG7715 CG4294
CG11345 HLH4C
EBI-89434 SINA
POXM CG10014
CG31029 FZO
CG6290 EBI-141947
EBI-130134 CG11349
ELFLESS RPL36A
CG3517 PFRX
EBI-226625 CG2199
FLW CG9619
CG9986 CG11138
FZO DEI
MOE EBI-167069
TOY KAP-ALPHA3
PAT1 EBI-91014
DIF REL
CG9331 CG6332
SOFE PP2B-14D
CG12393 CYCG
SOL EBI-82680
SPN-A RPA2
EXO70 CG8831
CG7512 CTBP
EBI-199701 EBI-128334
CG1104 CG11006
CG2199 GCL
DYN-P25 OVO
SKPA CG4911
HSP67BA EBI-224053
CG14302 EBI-165218
SALA CG10650
STC CG3160
TJ CG6770
CG11286 EBI-140532
ALD EBI-458616
CDC14 SOX21B
CG12081 L(3)82FD
CG17826 EBI-183075
PTC MYS
PMS2 TRN-SR
TOS CG3557
CAM POE
NEJ DLL
CG30327 EBI-190132
EBI-195768 NRV1
EBI-155060 RPL37A
CG10433 CG12470
CG31619 EBI-117860
CG17233 MER
GEM RPS20
POXM CG31665
CI LCBP1
PROSALPHA7 CG4707
CG5645 HSP70AB
TSG101 KST
CG14569 EBI-123443
CG6985 EBI-196108
CG15646 EBI-151216
CG31999 HEL89B
CG17855 TTH
VND CG11008
CG4116 EBI-133419
CG9511 GOGO
EBI-133084 E23
CG14684 MUS209
CG5168 MBT
UBX OTU
STAR1 CG18135
CG31999 RPL32
EBI-102459 SZAR
SLAM RPL12
JAFRAC2 TH
EY PB
EBI-88589 CG15262
CI SEC5
IP3K2 SRC64B
PTC ERP60
CG16787 CG9184
IRBP STAM
EBI-196335 L(3)03670
VHASFD EBI-130561
PNGASE RAD23
EBI-187464 TAF10
EBI-133084 CG5731
CG17360 PP1-87B
SYX17 SNAP
MER CORA
EBI-88363 CG8907
VPS20 CG11902
CG4865 CG13656
FLW ENA
CG15865 CG11380
EBI-129477 CG13721
RL RL
CG11672 N
HOE1 CG14183
TERM EBI-115136
EBI-166770 EIF2B-DELTA
CG8368 CYCB
CP16 CG9392
EBI-165118 CYT-B5-R
CG17450 NC73EF
CG13721 CG13731
AKT1 CYCC
COMM3 DNAJ-1
CG9130 CG13679
CDC2C PHDP
DLC90F CG10098
CG1542 CG7993
CACTIN CG11906
SZAR CDC37
CG9588 CG7257
EBI-195768 CG3731
GM130 MICAL
CG8831 CG12010
TAMO RAN-LIKE
CG3335 RPL28
EBI-160257 SPN-A
DYS CG9769
MAD2 CG14254
NOC ACT5C
CG7196 ANCE
EBI-119728 CG17666
CG18616 APEPP
DYS CYCC
MRPL3 L(2)03709
CG31156 FS(1)H
CG15676 CYCH
LPR1 RIN
CG32086 NOI
MYO10A RPS3
MST98CA ICS
GSTD6 CG9597
CHI CG4328
MIRO EBI-185330
SKPA CG18745
CYCD ENA
BAP60 EXD
L(1)G0136 CG14627
CG7967 CG9471
EBI-87760 SU(TPL)
EBI-163074 RPS20
EBI-132050 CG18266
BSK RBP4
HOMER EBI-213208
EBI-166329 EBI-168948
EBI-128171 EBI-139287
CG10510 EBI-173665
EBI-163074 EBI-140174
CDC14 EBI-466537
CG12701 EBI-151216
CG34410 CG15631
EBI-199701 CA-P60A
CG32581 EFF
CG5376 EBI-75338
CG4820 EBI-149047
PAR-6 CDASE
WNTD L(2)34FA
CG12703 UBCD4
TJ EBI-179816
RDX CG2865
DIP-B CG7916
CG4877 CG5478
CI FTZ-F1
EBI-132998 CG7966
LOQS ULP1
EBI-147527 CG31973
CG13576 MEN
PAT1 CG6470
E5 LARK
CG31291 EBI-93158
DRK CG7048
PTC IMPE1
EBI-190132 CG15631
P115 EBI-168011
TEKTIN-A CG2052
PIE CG31646
CYCJ CG13510
CG14011 CG9911
CG7242 CG9938
SH EBI-389394
PIE CPR64AA
DIP-B EBI-163201
CG8942 BUN
CG2224 RPS3A
CG9577 TRAF2
CG11769 MIO
EBI-197717 EBI-157547
CG1120 CG5062
CG13287 CG30428
CG11265 INT6
EBI-85123 HALE
MOR MOR
CG11141 CDC2C
MYO10A BICC
CG13576 CG8927
CG4802 CG16995
EBI-166770 CNN
PC PSC
DAP TRAF3
CG3528 EBI-128385
RPLP0 AGO
TAMO CG9511
CG6416 FLW
SNR1 NUP358
TERM GLUT1
CG1523 POLO
SKPA SKPA
CG8319 CG6686
CG14544 CG9596
TJ EBI-197238
CG9014 TFAM
TBPH EBI-105310
CG13811 CG11854
EIF4AIII MAGO
CG5537 CG31008
CG11327 CG31523
EBI-169919 CG9576
CANA1 CG3708
SINA CG32392
CG3081 CG14126
GAP69C STUMPS
CNN RPL27
CG16728 CG11526
AMOS DA
HPO TH
EBI-198400 EBI-85750
CG9331 CG12496
CG5877 KRZ
CG18624 TROL
CG13070 CG7290
EYG CDC2C
CG11878 UBI-P5E
CPB SIRT6
P115 CACTIN
EBI-181781 CG9426
L(2)37CG CG31357
RBP4 CG3731
CG14506 BZD
CG5703 CG14894
CG14815 CG4289
EBI-1627441 CG9624
CG34376 EBI-93203
EBI-117175 SPN-F
MAD ZEN
CP36 CG7017
CG6569 ADA2B
SOP CG9890
MRPL39 CG32016
CG13138 CG13138
JANB CG6675
CCP84AF CG1124
CG8368 REP4
CG9368 EBI-83005
HALE ZFH1
CG9040 EBI-116955
CYCJ CYCK
CG14216 RM62
CG11523 CG9791
EBI-162579 CG4287
CG32086 E(SPL)
CG32635 RPL19
CG13671 CG34353
GRK SINA
CPR73D EBI-176390
EBI-203567 CG10508
CG14216 UGT
HLHMBETA HLHM7
EBI-84773 OHO23B
CG17666 ESG
EBI-147527 EBI-122233
RPL19 DA
CG17777 CG33099
CG9014 L(3)J2D3
CDC2 CYCK
JIGR1 EBI-163004
LCP1 CG18292
SNAP CG10804
CRY SGG
CG17599 CG6856
TTK DSH
CG9014 EBI-94564
CG17855 CG17801
RAC1 PAK3
CG18135 CG10979
PLI CG3838
CG12728 CG8507
CG7182 CG10565
GCL KAP-ALPHA3
CG11656 EBI-90766
CDEP STUMPS
MAD2 EBI-82596
ELA EBI-175680
CG9986 CG4751
EC PP1ALPHA-96A
CKIIBETA CG8159
ART4 CG17777
LUSH CG6637
CG8368 RPL13
T-CP1 EBI-89655
CUL-2 EBI-74966
CG8668 ACT5C
CG7264 CG11382
ECSIT TRAF2
DX N
CG13407 CG13343
EBI-497141 CHI
RPB4 PK17E
TEKTIN-C RPL4
PP1ALPHA-96A PNUTS
ACTR13E CG5613
RPA2 TWE
RBP4 DHFR
CG5674 EBI-186330
GT SURF4
CG5382 EBI-277738
CG12985 CG2213
CG8455 CYCK
CG13001 CG12985
MUS304 OR56A
SIRT2 E5
CG7379 SCM
CG11964 C12.1
CG18135 SOP
CG11327 CG16904
CG12721 YIP7
CG7191 EBI-95855
SNR1 JAR
CG2241 EBI-142941
CG17829 BRK
CG1544 RPL12
CG3225 CG13046
CG9796 EBI-192699
CG15440 RAB1
CG12679 CG4335
CG11570 LOCO
CG13733 L(2)06496
CG31999 EBI-196732
CYCK CG5568
EMP CG11723
EBI-84773 EBI-127260
CG9083 CG5780
MED19 RPL10AB
CG5376 NONA-L
CP38 GBB
EBI-199701 SPS2
PAK S6K
CG14204 EBI-235265
EBI-160861 CG6856
CG7835 CG17086
CG31958 CG10979
CG32036 EIF-4A
EBI-170625 EBI-147569
NACP60E MYB
P53 EBI-74966
CG6569 CG14995
RPL22 RPL22
SHU CG17599
CG14667 SOP
CG3880 RPL39
MED22 MED6
ROBL62A CG10834
MUS209 EBI-89179
CDC27 LA
ICE LAM
CG14612 CG5681
PROS45 PROSBETA3
CG3557 EBI-147579
EBI-172533 CPR72EA
TSC1 RNRS
CG8219 CYP1
GATAD2A EBI-522090
DSOR1 RL
EBI-168236 CG13004
CG11449 CG5857
CG15440 EIF-5A
SYX16 D
GLYCOGENIN TOC
ROX8 CG14619
EBI-124888 PKCDELTA
DRP1 CG11092
CG8455 REV7
PAN GRO
TAMO CG5270
CPN SUN
CG14216 EBI-84827
CG7928 RPL31
EBI-458558 CG14619
MED19 CG3294
HBS1 PELO
CG2224 MTS
CG17824 EBI-200614
CG8228 CG2076
EBI-83112 RPL35A
SPN4 SPN5
DOCK PTP61F
RBP4 RPS3
CG9902 EF1ALPHA48D
EBI-128409 IAL
